               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10144,            0.028461,            0.032539,            0.022969,             0.17464,             0.01944,           0.0051701,            0.047037,            0.023007,            0.022041,           0.0032883,           0.0032883,            0.070405
                   1,            0.080419,            0.029473,            0.031728,            0.078403,             0.42042,            0.091832,            0.026519,            0.041947,            0.017949,            0.020525,            0.006562,            0.006562,            0.040346
                   2,            0.073207,            0.024812,            0.029644,             0.17166,             0.30078,             0.14293,            0.036812,             0.03916,            0.014996,             0.02049,           0.0097758,           0.0097758,            0.010226
                   3,            0.066389,            0.023117,            0.029625,             0.10979,             0.49235,             0.13065,            0.068291,             0.04254,            0.013572,              0.0204,             0.00973,             0.00973,             0.00973
                   4,            0.059204,            0.022859,            0.029352,             0.15513,             0.38681,             0.16316,            0.050166,            0.028407,            0.012013,            0.020483,             0.00973,             0.00973,             0.00973
                   5,            0.058808,            0.020802,            0.029734,             0.15108,             0.49924,             0.16984,             0.05479,            0.031334,            0.010573,            0.020523,             0.00964,             0.00964,             0.00964
                   6,            0.050493,            0.020964,            0.029896,            0.094315,             0.78642,              0.1124,            0.039043,            0.030368,            0.010428,            0.020459,             0.00955,             0.00955,             0.00955
                   7,            0.051859,            0.019217,            0.029884,             0.16983,             0.71085,             0.20912,             0.12246,            0.022107,           0.0089189,            0.020378,             0.00946,             0.00946,             0.00946
                   8,            0.041851,            0.018395,            0.029103,             0.17692,             0.76297,             0.22559,             0.13631,            0.018347,           0.0085303,            0.020396,             0.00937,             0.00937,             0.00937
                   9,            0.040175,              0.0169,            0.028448,             0.17724,             0.79951,             0.22259,             0.13768,            0.018183,           0.0086794,            0.020352,             0.00928,             0.00928,             0.00928
                  10,            0.037086,            0.016104,            0.028179,             0.16675,             0.72739,             0.20319,             0.12505,            0.021277,           0.0090148,            0.020333,             0.00919,             0.00919,             0.00919
                  11,            0.039693,            0.016823,            0.028346,             0.17582,             0.73742,             0.22528,              0.1478,            0.017434,           0.0086034,            0.020405,              0.0091,              0.0091,              0.0091
                  12,            0.035414,            0.015216,            0.028477,             0.17387,             0.80618,             0.22028,             0.14786,            0.015497,           0.0076226,            0.020383,             0.00901,             0.00901,             0.00901
                  13,            0.033102,            0.016264,            0.028243,              0.1967,             0.74374,             0.26545,             0.18964,            0.014724,           0.0076682,            0.020226,             0.00892,             0.00892,             0.00892
                  14,            0.032096,            0.014244,             0.02818,             0.18941,             0.78024,             0.27564,             0.17056,             0.01633,            0.007387,            0.020149,             0.00883,             0.00883,             0.00883
                  15,            0.033214,            0.014516,            0.028334,             0.20927,             0.80247,             0.30691,             0.21337,            0.015565,           0.0070923,            0.020099,             0.00874,             0.00874,             0.00874
                  16,            0.028365,            0.013309,             0.02735,              0.2262,             0.76433,             0.30436,             0.23352,            0.013843,            0.007095,            0.020112,             0.00865,             0.00865,             0.00865
                  17,            0.028027,            0.012868,            0.027785,             0.20833,             0.78294,             0.29321,             0.16012,            0.019242,           0.0073012,            0.020009,             0.00856,             0.00856,             0.00856
                  18,            0.033565,            0.014725,            0.028385,             0.27008,             0.73626,             0.31256,             0.18114,            0.022573,           0.0074607,            0.019902,             0.00847,             0.00847,             0.00847
                  19,            0.029679,            0.013561,            0.027363,             0.30804,             0.68113,             0.35399,             0.24317,             0.01718,           0.0069926,            0.019811,             0.00838,             0.00838,             0.00838
                  20,            0.027613,            0.013874,            0.027368,             0.31992,              0.6294,             0.33923,             0.25526,            0.013765,           0.0066902,            0.019651,             0.00829,             0.00829,             0.00829
                  21,            0.029033,            0.012939,            0.028091,             0.31099,             0.66582,             0.35088,             0.20802,            0.020447,           0.0071001,            0.019534,              0.0082,              0.0082,              0.0082
                  22,            0.028307,              0.0134,            0.027303,             0.32615,             0.72979,             0.38127,             0.30986,            0.011588,            0.006278,            0.019362,             0.00811,             0.00811,             0.00811
                  23,            0.027406,              0.0134,            0.028269,             0.33298,             0.68134,             0.40294,             0.31013,             0.01041,           0.0061673,            0.019115,             0.00802,             0.00802,             0.00802
                  24,            0.030103,            0.013049,            0.027528,             0.31655,               0.712,             0.38358,              0.2443,            0.016112,           0.0064855,            0.018906,             0.00793,             0.00793,             0.00793
